How would you like AI to be used in the future?,Category
In every way possible as it will have a positive impact,6
Ideas or answers about things to do,2
I'm not sure.  In technology ot can be used,6
I'm not sure really. It's still has too many unknown variables.,7
I'd like to see it actually help humanity and not cripple them.,6
I wouldn’t like for it to be used at all,7
I would use it for repetitive tasks.,1
I would use it for answers to difficult questions,2
I would prefer it be banned before it gets misused,7
I would not like it to be used,7
I would not like it to be super advanced in the future,7
"I would love it to be used in the future, but not take all of our jobs.",6
I would like to use it first house chores,1
I would like to see AI make life easier and safer for everyone without eliminating all of their employment,1
I would like it to not be used.,7
"I would like it to be used to help end diseases, and other medical uses.",3
I would like it to be used to assist in gathering data for research.,2
I would like it to be used for insurance purposes,6
I would like it to be use for future research to map out uner the oceans,2
I would like it to be eliminated.,7
I would like for it to be used to help solve crimes.,6
I would like for it to be used in shopping and also in fast food,5
I would like for ai to be destroyed and put in a box in the middle of the ocean,7
I would like Al to be used as advanced and be used in other machines that would service people.,6
I would like AI to be used to make things easier to do in the future,1
I would like AI to be used as a secretary that will just follow orders.,1
I would be okay if it assisted me in doing some research.,2
I will love to use everytime and all time in the future always,6
I want it to be used so that people don't have to be wage slaves anymore. Robots could work for all humanity.,6
"I use AI currently. I wish i could do anything i want with it. For instance, there are certain stat lines that are not popular that i look at wheb i bet, they have a blocker on that.",6
I think the sky is the limit we can use it for things we don’t even know yet,6
I think it would help with my job. I think it's beneficial,1
I think it would be beneficial for different educational tools for children,4
I think ai should be use for military purposes,6
I really don’t know to be honest about the situation,7
I really don’t know but I’m interested,7
I really don’t know at point an time,7
"I really don’t believe in AI and robots, but the life is becoming futuristic",7
I really can't answer this I'm not sure,7
I love to be the best and love the rest,7
I like it to be used for entertainment right now,5
I have to learn about it first to make a decision.,7
I have no preference for this at this time today,7
I have no opinion on this particular topic. But thanks,7
"I have no idea, because I really don’t understand it at all!",7
I have no idea how AI should be used in the future.,7
I have no clue because I don't know what it is or what it's about!,7
I guess to benefit everyday life,1
I don’t want it to be I want all of it festroyed,7
I don’t know what to say about this one because it’s not my favorite one yet,7
I don’t know what I did wrong with ai,7
"I don’t know anything about it, so I am unsure",7
"I don't mind a I being used on apps when you have a certain question about a product and it knows how to answer standard questions but if it doesn't know how to answer your question, then it needs to be put forward to a person.",6
I don't know what will happen in the future,7
I don't know what it means at all,7
I don't know what I would like to be used for in the future cuz I don't know anything about it,7
I don't know how I would use it,7
I don't know at all. Like I said who controls it and how does it know everything.,7
I appreciate the concept of the content provided by the company services and,7
I am not sure it should be ok as it,7
I absolutely going to use this in the future I’m using it now.,6
Help with questions and ideas it seems very helpful,1
Help by writing to people. Help make what you're trying to say sound better.,1
Healthcare advancements would likely be the best way to go because people and AI should come together to evolve a new way of living.,3
For the improvement of businesses and consumer products only.,6
For the greater good of humanity,6
For the emotionally draining jobs so humans have more time for fun and important stuff,6
For suggestions on improving technology. I would still want humans to have the final say.,6
For some things I agree with but I don't trust it really.,7
For research only should not take jobs away,2
For medical research and furthering education,3
For medical purposes and not much of anything else,3
"For general information gathering, for creative projects.",2
For anything good. To be helpful.,6
Fit school maybe to help research for essays and projects,4
"Fast food restaurants, auto Zones,",5
Don’t know anything about AI and don’t want to,7
Don't know much about it but interesting to know about it,7
Certito not to be used in a way it invades human privacy.,6
Can be used for research to help especially in medical research,3
Because al is good for my future husband has been good,7
Asking questions I don't know or understand,2
As a very useful tool to help others,1
As a tool for furthering the capabilities of humanity.,6
As a information source to get a second opinion,2
An innovating quality production of technology cusomers intrest,6
Ai prime hd supply and demand to Allah yakiyaye my daddy na na song.,7
AI assistance is great and beneficial,1
A more technological advanced and longer living world,6
