What are your greatest concerns about AI?,Category
Making sure my information is safe,2
Major privacy concerns and facial recognition,2
Like my previous written answer things like the transformers walking amongst us.,6
"Like i said, AI is clearly the future and as long as we have UBI for every American, it is great. Without Universal basic income, AI shouldn't exist.",6
Lack of privacy and lack of common sense and lack of freedom,2
Just seems scary to me in certain areas,6
Job replacement that's it may have a bad impact on employment situations,1
I’m not sure about ai at this moment,7
I’m not really concerned by much of it even when you all the security scares,7
I’m concerned that society isn’t ready for such a huge responsibility.,6
I’m concerned that it will make society dumber.,6
It’s involved in things that aren’t necessary like Instagram,6
It will take over the world and it will become to smart to turn off,3
It will take over and eliminate jobs,1
It will take jobs away from humans.,1
It will take away actual conversation with humans,1
It will make people lazy and also people misusing AI.,6
It will eliminate jobs from people.,1
It will change what is real or not,5
"It will be used for fraud, scams, etc.  It could make it harder to know when you are interacting with a real person.",4
It seems to pop up on my device unwarranted and unwarranted and unasked,6
It not providing correct information.,5
It might do more harm than good who's in control of it?,3
It might be too overwhelming and too high in frequency,6
It could turn on us or just not comfortable with a robot,3
It concerns me that powerful people can use it for evil and greed.,4
It can take people jobs and not give accurate answers sometimes,1
It can be used to falsify information and can directly harm humans.,5
It can be dangerous if not restricted.,6
It being used by nefarious actors trying to hurt someone or something,4
It becoming smarter than humans and taking over and enslaving us,3
It becoming smart enough to take jobs from people,1
Interested In more information about this  cause don't know much,7
If it's real as far as facts & uphold the positive side of things,5
If it start acting on in own and people using it for bad stuff.,3
If it can be hacked or used against us,2
I'm concerned it will replace the workforce.,1
I'm afraid it will realize what a mess we are and decide that we don't deserve to live.  That is I am afraid he will tell the big main computer to fire the bomb and then we are all finished,3
I would say losing out on jobs for humans,1
I worry that people will lose their jobs due to AI.,1
I think misinformation and security,5
I see no concerns that AI will have on human society,7
I really don’t know much about to have any concerns,7
I really don’t know but I will do research first,7
I really don’t have any concerns at this time,7
I really don’t have any concerns about it right now,7
I honestly have no concerns with AI I feel like it’s making a lot of things easier for people,7
I have no specific concerns about AI,7
I have no preference for this at this time today,7
I have no concerns because I don't know what AI is!,7
I enjoy the concept of the content provided by the company services and services,7
I don’t know what to say about that because I’m not sure what to say but I’m going to try w,7
I don’t have any concerns it’s just a little creepy.,7
I don’t have any concerns at the moment,7
"I don’t have any concerns about it, I be using it myseld",7
I don't trust robots all that much,6
I don't know what concerns I might have cuz I don't know anything about it,7
I don't have any concerns about AI.,7
I do not know enough about it yet.,7
I currently have no concerns about it because I have not ever tried it,7
I cannot trust AI nor do I feel comfortable using it.,6
I am concerned that someone will use it in a criminal way to harm someone else.,4
I am concerned that criminals will use AI to commit more crimes.,4
I am afraid of the security breach of information,2
Humans losing control and the computers take over,3
How it will impact students' learning. Will they stop critical thinking?,6
How does it remember every answer about things,6
"Honestly, right now I don’t have any concerns",7
Hacking into my accounts such as social media or even my bank/money apps.,2
Greatest concern is a breech of my privacy,2
Government restrictions and Google manipulation of results.,6
Good and helpful for my own al that I use,7
Getting personal information. Getting hacked,2
Finding information and ideas.,7
Feeding false information and taking over jobs.,5
Everything is no good in my opinion,7
Don’t have a voice because everything will be divital,6
Don't really have any concerns,7
Dependency and Laziness because it's too helpful.,6
Data privacy and security issues and invasion of home life.,2
Data and privacy and AI doing things humans aren't aware or knowledgeable of.,2
Creating contents that are too realistic that can confuse people what is real and what is not,5
"Content Creatives not being truthful to using AI tools/services, and, certain AI applications overtaking human jobs/occupations.",6
"Big tech monopolies, governmental invasion of privacy, and the loss of so many jobs in the economy.",2
Being the end of some human jobs,1
Becoming too dependent on it for answers,6
Because  it more advance  and top technology  and we can learn and do learn alot from AI and help us alot,7
"As i mentioned in the prior answer, it would be fraudulent activity.",4
"Ai will take over, it shouldnot be used in everything",3
Ai stock market open on the rest of the week you my friend I.,7
Ai should have never even been built in the first place and there will be many repercussions that follow along with government cover ups that want control of whatever ai may be capable of. Si has existed for years before it became available to the public. Since 9/11,6
"Actor losing there jobs, people’s voices being mimicked , false information",1
Accuracy is the main thing or becoming too smart,5
Accuracy and safety would be my greatest concern.,5
AI customer service becoming the new customer service,6
