"Row ID","Response","Applicable Categories"
95,"I don’t know what to say about that because I’m not sure what to say but I’m going to try w","9"
96,"None I don't know about AI at all","9"
97,"Replacing jobs like writers so that everything just becomes generic.","1"
98,"That it will be used in negative ways","5"
99,"The effects of glitches it not running properly","8"
100,"Nothing in particular I think it will be great","9"
101,"Interested In more information about this  cause don't know much","9"
102,"I really don’t know but I will do research first","9"
103,"I don't have any concerns about AI.","9"
104,"I have no specific concerns about AI","9"
105,"I really don’t know much about to have any concerns","9"
106,"The company brand terms of service","8"
107,"Peoples’ fears and concerns that are not true.","8"
108,"I’m not sure about ai at this moment","9"
109,"Hacking into my accounts such as social media or even my bank/money apps.","2"
110,"data security, bias, privacy issues","2,4"
111,"That it will take over the world and we won't be able to stop it.","3"
112,"it being weponised for military use","5"
113,"The medical records are on my phone","2"
114,"Government restrictions and Google manipulation of results.","7,8"
115,"Ai will take over, it shouldnot be used in everything","3,8"
116,"It will make people lazy and also people misusing AI.","5,6"
117,"I don’t have any concerns about it, I be using it myseld","9"
118,"Nothing really concerns me.  About Al it’s greay so far","9"
119,"I'm afraid it will realize what a mess we are and decide that we don't deserve to live.  That is I am afraid he will tell the big main computer to fire the bomb and then we are all finished","3"
120,"None at all not to much concerns","9"
121,"Worried AI will take over identities","2"
122,"No concerns about AI. To be very honest","9"
123,"Oh how it functions faster that most things","8"
124,"Getting personal information. Getting hacked","2"
125,"Take over for humans not at all going forward","3"
126,"It will eliminate jobs from people.","1"
127,"Accuracy and safety would be my greatest concern.","2,4"
128,"It can be dangerous if not restricted.","7"
129,"used to proliferate incorrect information","4"
130,"How it will impact students' learning. Will they stop critical thinking?","6,8"
131,"Because  it more advance  and top technology  and we can learn and do learn alot from AI and help us alot","9"
132,"I have no concerns because I don't know what AI is!","9"
133,"Privacy and ownership concerns","2"
134,"Like my previous written answer things like the transformers walking amongst us.","3"
135,"What are the greatest concerns? It would be hacks and other malfunctions.","2,8"
136,"It might be too overwhelming and too high in frequency","8"
137,"Talking over the world because it really how I feel","3"
138,"That the children of the world will use it in lieu of their own intelligence.","6"
139,"That they are to intelligent to","3"
140,"Don’t have a voice because everything will be divital","8"
141,"Don't really have any concerns","9"
142,"that it will invade my privacy","2"
143,"It will take over the world and it will become to smart to turn off","3"
144,"Big tech monopolies, governmental invasion of privacy, and the loss of so many jobs in the economy.","1,2,7"
145,"It can be used to falsify information and can directly harm humans.","4,5"
146,"I do not know enough about it yet.","9"
147,"I’m not really concerned by much of it even when you all the security scares","9"
148,"I honestly have no concerns with AI I feel like it’s making a lot of things easier for people","9"
149,"I don't trust robots all that much","8"
150,"The some people might use it to commit crimes","5"
151,"Spyware and sometimes it is not accurate","2,4"
152,"Data and privacy and AI doing things humans aren't aware or knowledgeable of.","2,8"
153,"My greatest concerns when it comes to AI is that it’s gonna take over the worlds","3"
154,"Misinformation   artificial news being passed off as factual.","4"
155,"I really don’t have any concerns about it right now","9"
156,"No regulation seems to be the issue. In the wrong hands who knows.","5,7"
157,"That cars and such will not be controlled by people","8"
158,"My greatest concerns is identity theft","2"
159,"replacing the human factor in the long run","1"
160,"The ability to pretend or take another’s image and likeness","5"
161,"I’m concerned that it will make society dumber.","6"
162,"Nothing I have no concerns it seems great so far","9"
163,"My greatest concerns about AI is that it can soon be smarter then humans and that can be dangerous since they could take over the world.","3"
164,"That some people might use it to commit crimes","5"
165,"That they will take over human capabilities in all aspects","3"
166,"It will take over and eliminate jobs","1"
167,"Dependency and Laziness because it's too helpful.","6"
168,"The software's lack of ability to interpret and or explain the decisions or result it does not provide can generate distrust","4,8"
169,"It will change what is real or not","4"
170,"Accuracy is the main thing or becoming too smart","3,4"
171,"N/a don’t care to much about it","9"
172,"Humans losing control and the computers take over","3"
173,"As i mentioned in the prior answer, it would be fraudulent activity.","5"
174,"I enjoy the concept of the content provided by the company services and services","9"
175,"That AI is going to take over the world","3"
176,"That I won't know how to use it and it is frustrating","8"
177,"None really. Has I might use grocery shopping.","9"
178,"I don’t have any concerns it’s just a little creepy.","9"
179,"Not sure I have no yet*still figuring it out. I'll know soon","9"
180,"That personal information is protected","2"
181,"Ai should have never even been built in the first place and there will be many repercussions that follow along with government cover ups that want control of whatever ai may be capable of. Si has existed for years before it became available to the public. Since 9/11","7,8"
182,"The deep fakes and misinformation","4,5"
183,"Job replacement that's it may have a bad impact on employment situations","1"
184,"I have no preference for this at this time today","9"
185,"Major privacy concerns and facial recognition","2"
186,"That it will put people out of their jobs and on the other hand that it is limited.","1,8"
187,"That it will take away more jobs making everything so automated l.","1"
188,"If it's real as far as facts & uphold the positive side of things","4"
189,"It could turn on us or just not comfortable with a robot","3,8"
190,"I am concerned that someone will use it in a criminal way to harm someone else.","5"
191,"Too much dependent on using it rather then looking for stuff yourself.","6"
192,"Making sure my information is safe","2"
193,"It will be used for fraud, scams, etc.  It could make it harder to know when you are interacting with a real person.","5"
194,"How does it remember every answer about things","8"
195,"I really don’t have any concerns at this time","9"
196,"Actor losing there jobs, people’s voices being mimicked , false information","1,4,5"
197,"Providing false information. And creating images that are not disclosed as AI","4,5"
198,"Greatest concern is a breech of my privacy","2"
199,"Becoming too dependent on it for answers","6"
200,"Robotic mistakes might happen.","4"
