"each industry needs to determine how it can be used in their field.  I think as long as we cite the use of AI correctly, and it does not stop people from independent thinking, it can be very helpful",6
"It should  be used more in every  part on the apps for shopping  and make it easier  for companies  and consumers  as well",5
"I have no clue because I don't know what it is or what it's about!",7
"To be used to streamline workflow productivity",1
"Certito not to be used in a way it invades human privacy.",6
"I would like Al to be used as advanced and be used in other machines that would service people.",6
"I would use it for answers to difficult questions",2
"To help as many people as possible",1
"For suggestions on improving technology. I would still want humans to have the final say.",6
"To be able to teach us and make sure that we are safe",4
"We won’t have a voice because you will be searching information that is programmed by one sided opinions",6
"In every way possible as it will have a positive impact",6
"to determine how weather will impact society",6
"I would not like it to be super advanced in the future",7
"To produce unimaginable abundance for mankind.",6
"I would like it to be used to assist in gathering data for research.",2
"I have to learn about it first to make a decision.",7
"I’m not sure .., there are so man possibilities",7
"I absolutely going to use this in the future I’m using it now.",6
"Not to be used is more like it",7
"To make everyone's life easier",1
"Pretty likely, it can be helpful",6
"It could be helpful in many everyday situations.. like answering simple questions or requests.. possible even doing mundane tasks.",1
"I really don’t believe in AI and robots, but the life is becoming futuristic",7
"For general information gathering, for creative projects.",2
"To help assist me anyway I need",1
"I'd like to see it actually help humanity and not cripple them.",6
"Something beneficial to the majority of society",6
"I would like it to be used for insurance purposes",6
"to help with research n the health field",3
"Only for science and teaching the dangers of algorithms",4
"I would like for it to be used to help solve crimes.",6
"Mostly for research or anything people need help with",2
"The same way it is used now which is just to help people with simple tasks that are annoying I’d prefer it not be used take peoples jobs",1
"To help make everyone's life so much easier",1
"I wouldn’t like for it to be used at all",7
"For medical research and furthering education",3
"For anything good. To be helpful.",6
"Machines with artificioal intelligence will be able to write best seller",6
"I don't know what will happen in the future",7
"To help society and to help people",1
"Not to much about it at all negative",7
"Only has an assistant not has being in control",1
"Virtual assistants are nice, and for coding and automation",1
"I appreciate the concept of the content provided by the company services and",7
"I would like AI to be used to make things easier to do in the future",1
"I'm not sure.  In technology ot can be used",6
"There are lots of good uses in healthcare and transportation etc.",3
"I’d rather be in charge than a computer.",7
"Not sure I hope it's good use tho",7
"Minial uses on things like street lights and simple things that no human intervention  is effected.",6
"I would like for ai to be destroyed and put in a box in the middle of the ocean",7
"It should be only in controlled situations",6
"Medical field to help detect health concerns and risks and diagnosis",3
"I have no preference for this at this time today",7
"Just like a better search engine and nothing further",2
"I don't mind a I being used on apps when you have a certain question about a product and it knows how to answer standard questions but if it doesn't know how to answer your question, then it needs to be put forward to a person.",6
"To help with medical research and to help keep neighborhoods safe:",3
"To help more without trying to make people pay",1
"Nothing really its great  i dont really care to see them in the future",7
"I would like AI to be used as a secretary that will just follow orders.",1
"More In depth features and options",6
"To help with questions n help with planning things",1
"l would use it for research purposes, especially family history",2
"Ideas or answers about things to do",2
"I think it would be beneficial for different educational tools for children",4
"I have no idea, because I really don’t understand it at all!",7
"To help with solving our countries problems.",6
"To help my everyday needs and learn routine",1
"For the greater good of humanity",6
"To help with cleaning our environment",6
