Row ID,Response,Use Case Categories
44,"I don’t want it to be I want all of it festroyed","5"
45,"No differently than I am now really","5"
46,"I would prefer it be banned before it gets misused","5"
47,"In helping in schools and help with spelling","2"
48,"The only way I could do that was if you had to do a lot more work and then you would be done by yourself so you","5"
49,"To help people with medical difficulties and to for fun virtual experiences","3,6"
50,"for tasks around the house/in the job","1"
51,"To provide good research and data.","2"
52,"As a tool for furthering the capabilities of humanity.","8"
53,"To make money thank you have a blessed day","8"
54,"I would not like it to be used","5"
55,"To help humans thrive and assist is","1"
56,"I would be okay if it assisted me in doing some research.","2"
57,"I want it to be used so that people don't have to be wage slaves anymore. Robots could work for all humanity.","1,4"
58,"To help with medical and surgical practices as an assistant or to help language barriers and things to help assist people rather then completely taking over a person's ability","3"
59,"To benefit the human employees","7"
60,"heavily regulated and verified.","5"
61,"Yes because it help me safe time for all use of devices","1"
62,"I really can't answer this I'm not sure","5"
63,"It doesn’t matter, as long as it benefits the world.","8"
64,"I would use it for repetitive tasks.","1"
65,"i would like to use it to brainstom","8"
66,"Only for research purposes. AI should only be used as help, not as a solution","2"
67,"Well in so many ways because words alone cannot explain what i really want about it","5"
68,"I don't know at all. Like I said who controls it and how does it know everything.","5"
69,"I would like for it to be used in shopping and also in fast food","7"
70,"Music wise I'm for it.. I feel. If it shouldn't be in the workforce us humans have a real life","5,6"
71,"I think ai should be use for military purposes","8"
72,"I think it would help with my job. I think it's beneficial","1"
73,"Asking questions I don't know or understand","2"
74,"To help diagnose and treat disease and heal people.","3"
75,"to help clean my bathroom and mow the grass","1"
76,"It's already replacing forms of filing data and some assistance jobs and is an everyday calendar","1,4"
77,"To be selective with how it is used","5"
78,"i probably would use it on everyday things","1"
79,"To help make our health better","3"
80,"To be helpful with certain things.","1"
81,"Used as a part of our everyday life helping us remain safe","1"
82,"I'm not sure really. It's still has too many unknown variables.","5"
83,"Ai prime hd supply and demand to Allah yakiyaye my daddy na na song.","5"
84,"Help with questions and ideas it seems very helpful","1"
85,"Not at all   Too much technology is scary to me.","5"
86,"I don't know what I would like to be used for in the future cuz I don't know anything about it","5"
87,"For some things I agree with but I don't trust it really.","5"
88,"Not at all get rid of it. Creepy","5"
89,"I would like it to be used to help end diseases, and other medical uses.","3"
90,"I really don’t know to be honest about the situation","5"
91,"Treat cancer get rid of the disease and others","3"
92,"It's better if it could be used only when asked","5"
93,"Makes life a lot easier More efficient work is done things go more smoothly","1,4"
94,"I have no idea how AI should be used in the future.","5"
95,"I don’t know what to say about this one because it’s not my favorite one yet","5"
96,"I don't know what it means at all","5"
97,"AI assistance is great and beneficial","1"
98,"To help with tasks such as writing, researching, ect","1,2,8"
99,"Fast food restaurants, auto Zones,","7"
100,"To make it lives much easier and more efficient","1,4"
101,"Don't know much about it but interesting to know about it","5"
102,"I really don’t know but I’m interested","5"
103,"I don't know how I would use it","5"
104,"I would like to use it first house chores","1"
105,"I really don’t know at point an time","5"
106,"An innovating quality production of technology cusomers intrest","8"
107,"Study, research, leaning, helping disabled adults and children,","2,8"
108,"I don’t know what I did wrong with ai","5"
109,"Help by writing to people. Help make what you're trying to say sound better.","1"
110,"To [perform menial tasks, to organize, as a virtual assistant","1"
111,"To help be able to create things on the spot","8"
112,"research only and not for anything else","2"
113,"That's what we can see  on this is what we have to do for you and your family and","5"
114,"To solve problems earthlings cannot.","8"
115,"For research only should not take jobs away","2"
116,"To help better organize and arrange my life.","1"
117,"It would be used to generate things and I feel like it gonna take over","5"
118,"Fit school maybe to help research for essays and projects","2"
119,"Not at all!  I wish it had never been invited me","5"
120,"To help people like me with all technolgy","1"
121,"Don’t know anything about AI and don’t want to","5"
122,"I have no opinion on this particular topic. But thanks","5"
123,"As a very useful tool to help others","1"
124,"Not sure. What would be the use of this","5"
125,"Will use it for info greeting and for sakes","8"
126,"I would like it to be eliminated.","5"
127,"Unsure as I haven’t put much thought into it","5"
128,"I would love it to be used in the future, but not take all of our jobs.","5"
129,"In the Medical and health industry","3"
130,"each industry needs to determine how it can be used in their field.  I think as long as we cite the use of AI correctly, and it does not stop people from independent thinking, it can be very helpful","8"
131,"It should  be used more in every  part on the apps for shopping  and make it easier  for companies  and consumers  as well","7"
132,"I have no clue because I don't know what it is or what it's about!","5"
133,"To be used to streamline workflow productivity","1,4"
134,"Certito not to be used in a way it invades human privacy.","5"
135,"I would like Al to be used as advanced and be used in other machines that would service people.","1"
136,"I would use it for answers to difficult questions","2"
137,"To help as many people as possible","1"
138,"For suggestions on improving technology. I would still want humans to have the final say.","8"
139,"To be able to teach us and make sure that we are safe","2"
140,"We won’t have a voice because you will be searching information that is programmed by one sided opinions","5"
141,"In every way possible as it will have a positive impact","8"
142,"to determine how weather will impact society","8"
143,"I would not like it to be super advanced in the future","5"
144,"To produce unimaginable abundance for mankind.","8"
145,"I would like it to be used to assist in gathering data for research.","2"
146,"I have to learn about it first to make a decision.","5"
147,"I’m not sure .., there are so man possibilities","5"
148,"I absolutely going to use this in the future I’m using it now.","5"
149,"Not to be used is more like it","5"
150,"To make everyone's life easier","1"
151,"Pretty likely, it can be helpful","5"
152,"It could be helpful in many everyday situations.. like answering simple questions or requests.. possible even doing mundane tasks.","1"
153,"I really don’t believe in AI and robots, but the life is becoming futuristic","5"
154,"For general information gathering, for creative projects.","2,6"
155,"To help assist me anyway I need","1"
156,"I'd like to see it actually help humanity and not cripple them.","8"
157,"Something beneficial to the majority of society","8"
158,"I would like it to be used for insurance purposes","7"
159,"to help with research n the health field","2,3"
160,"Only for science and teaching the dangers of algorithms","2"
161,"I would like for it to be used to help solve crimes.","8"
162,"Mostly for research or anything people need help with","2"
163,"The same way it is used now which is just to help people with simple tasks that are annoying I’d prefer it not be used take peoples jobs","1"
164,"To help make everyone's life so much easier","1"
165,"I wouldn’t like for it to be used at all","5"
166,"For medical research and furthering education","2,3"
167,"For anything good. To be helpful.","8"
168,"Machines with artificioal intelligence will be able to write best seller","8"
169,"I don't know what will happen in the future","5"
170,"To help society and to help people","1"
171,"Not to much about it at all negative","5"
172,"Only has an assistant not has being in control","1"
173,"Virtual assistants are nice, and for coding and automation","1"
174,"I appreciate the concept of the content provided by the company services and","5"
175,"I would like AI to be used to make things easier to do in the future","1"
176,"I'm not sure.  In technology ot can be used","5"
177,"There are lots of good uses in healthcare and transportation etc.","3,8"
178,"I’d rather be in charge than a computer.","5"
179,"Not sure I hope it's good use tho","5"
180,"Minial uses on things like street lights and simple things that no human intervention  is effected.","8"
181,"I would like for ai to be destroyed and put in a box in the middle of the ocean","5"
182,"It should be only in controlled situations","5"
183,"Medical field to help detect health concerns and risks and diagnosis","3"
184,"I have no preference for this at this time today","5"
185,"Just like a better search engine and nothing further","8"
186,"I don't mind a I being used on apps when you have a certain question about a product and it knows how to answer standard questions but if it doesn't know how to answer your question, then it needs to be put forward to a person.","1"
187,"To help with medical research and to help keep neighborhoods safe:","2,3"
188,"To help more without trying to make people pay","8"
189,"Nothing really its great  i dont really care to see them in the future","5"
190,"I would like AI to be used as a secretary that will just follow orders.","1"
191,"More In depth features and options","8"
192,"To help with questions n help with planning things","1"
193,"l would use it for research purposes, especially family history","2"
194,"Ideas or answers about things to do","1"
195,"I think it would be beneficial for different educational tools for children","2"
196,"I have no idea, because I really don’t understand it at all!","5"
197,"To help with solving our countries problems.","8"
198,"To help my everyday needs and learn routine","1"
199,"For the greater good of humanity","8"
200,"To help with cleaning our environment","8"
