How do you feel about AI?,Sentiment,Gender,Age,Area,City
I love AI they are amazing and is the future will support them,1,male,35 - 44,Illinois,South Holland
I think it's taking away jobs. Many people will lose jobs,2,male,25 - 34,Illinois,Chicago
Scary thought but it helps us alot im just scared they can take over humans,3,male,35 - 44,California,Oakland
I think it is overrated and could become dangerous,2,male,45 - 54,Virginia,Roanoke
I think it is amazing and always coming up with new and improved things to do,1,female,45 - 54,Ohio,Dayton
I'm not really all that familiar with it. It's on my snapchat but I don't use it.,4,female,35 - 44,Indiana,Washington
I think A I could be useful for the right reasons and in the right setting,1,male,45 - 54,New York,The Bronx
im indifferent and i don't know if i can trust it,4,male,> 54,California,Costa Mesa
It's a great tools to use and it's very helpful to figure things out.,1,male,25 - 34,Illinois,Streamwood
It could be both a good and bad thing. It could be  both helpful and hurtful.,3,female,> 54,Illinois,Aurora
I feel it's a huge part of our future and we need to get used to it,1,male,35 - 44,Illinois,Peoria
I'm not sure really what to think about it. It's something that is for sure.,4,female,> 54,Pennsylvania,Mercersburg
Ai katuramin my daddy and you my love I will send me.,5,male,35 - 44,Wyoming,Afton
I think it's cool but also a little scary but it seems very helpful,3,female,45 - 54,Pennsylvania,Philadelphia
"I don't like it at all, it's scary and unnecessary.",2,female,25 - 34,Oklahoma,Tulsa
I don't feel anything about AI cuz I don't really know anything about it,4,female,45 - 54,Illinois,Chicago
I hate it because it's taking over people's jobs to support their families.,2,female,35 - 44,Illinois,Lake in the Hills
I hate it because it scares me. They are trying to replace humans,2,female,45 - 54,North Carolina,Wilson
"It is fascinating & potentially useful, but a very scary concept if used the wrong way.",3,female,35 - 44,New York,Buffalo
AI is an ok system to have I guess I just don't use it at the moment,4,female,35 - 44,Georgia,Marietta
Great technology better for the future of us and the rest of the world,1,female,> 54,Florida,Orlando
"I thinks it's  very helpful, at times it can kind of be invasive",3,female,45 - 54,Washington,Seattle
I don't like the idea of AI taking over humans,2,male,35 - 44,Illinois,Melrose Park
I feel uneasy about AI. I am not sure if it is a good thing or a bad thing.,4,female,> 54,Tennessee,Memphis
I don't know what I think about this one but I'm definitely thinking about this and I'm going to try to make it work,4,male,> 54,Florida,Orlando
I'm not aware of AI so I can not answer I can not answer this question,4,male,25 - 34,Texas,Austin
"I think AI has its benefits and downfalls. When it's riding writers of jobs, I'm against it.",3,female,25 - 34,Virginia,Reston
There will be pros and cons with it. It will definitely make certain things easier.,3,male,25 - 34,Texas,San Antonio
I personally don't feel bad AI it's going to beneficial in the long run,1,female,25 - 34,Alabama,Selma
Love it. It's going to make life so much easier,1,male,35 - 44,Missouri,Unknown
I don't know  much about it but  interesting in learning about it,4,female,> 54,Missouri,Republic
It seems very interesting and I might be interested,4,male,25 - 34,Ohio,Columbus
Unsure about how much it will help people in the long run,4,male,> 54,Florida,Okeechobee
I feel that it is Innovative and creative and it can make our lives easy,1,female,35 - 44,Texas,Killeen
Nothing really don't know much about it need to learn more about it I guess it's the new thing,4,female,> 54,Unknown,Unknown
An common quality variety of options for tech support,5,male,25 - 34,Texas,Houston
I really think AI can bring a great use case for many professions.,1,male,35 - 44,Missouri,Fenton
I'm not sure about AI. All I know is that I don't know what it is,4,female,45 - 54,New York,New York
I like the idea of it but it scares me. I feel like it will help in a lot of different ways.,3,female,25 - 34,Kentucky,Hopkinsville
I have concerns about privacy and data security,2,male,> 54,Pennsylvania,Perkasie
It's very very helpful yet at the same time very scary.,3,female,35 - 44,Utah,Roosevelt
scared of ai because humans will make it too powerful and weponize it,2,male,35 - 44,Kansas,Leavenworth
The first time I was on a phone call Me back to the grocery store and,5,male,35 - 44,Ohio,Columbus
Positive and hope that it becomes more universal.,1,male,25 - 34,Arizona,Tucson
"Al i like depending on what aspect, some of it is useful",3,female,35 - 44,Florida,Miami
"I think it has benefits, as well, I have concerns.",3,male,35 - 44,Pennsylvania,Philadelphia
"I love it, I like how it is personally ai is just great",1,male,18 - 24,North Carolina,Winterville
I feel great about Al it's a great company . And very helpful,1,female,25 - 34,Tennessee,Knoxville
It terrifys me if I'm going to be truthful.  I think it will be the death of the human race.,2,female,45 - 54,Missouri,Kansas City
It's us ok do not know much about it but heard of it,4,female,> 54,North Carolina,Charlotte
I really do not like AI as I'm worried it's able to do too many things better than msn can and there will be job loses.,2,female,> 54,New York,Shirley
Positive feelings in general. That's my overall feelings,1,male,45 - 54,Pennsylvania,Pittsburgh
It's amazing you can do so many things while it being useful and responsive,1,male,18 - 24,Texas,Laredo
Irritating. Bring back a regular search bar. I would have have a person to speak to,5,female,45 - 54,Alabama,Jacksonville
Like it a lot and will use it for sakes now and in the future,1,male,> 54,New Jersey,Sussex
I don't trust AI. I feel it will eliminate jobs.,2,male,45 - 54,Ohio,Dayton
I haven't had much experience with it but I can see the benefits but also the dislike that people have for it.,3,female,25 - 34,North Dakota,Minot
"It is very useful to today's modern world, with little concerns. The only concern is its smartness to be dangerous, other than that it helps everyone in the world.",3,male,18 - 24,Texas,Houston
"No strong feelings at this present time, in a wait and see mode.",4,female,> 54,Michigan,Detroit
"I like it, even as I have questions about it.  We need to figure out how to use it in an ethical way in various settings.",3,female,> 54,Massachusetts,West Roxbury
I love it it helps us greatly in our everyday lives,1,female,35 - 44,New York,New York
I don't even know what that is! I have never heard of it before!,4,female,45 - 54,Arkansas,Jonesboro
I feel like AI is an innovative tool that will increase productivity and streamline workflow,1,female,35 - 44,Georgia,Atlanta
I'm still suspicious about it. I feel like it's a technology that has been known about for a few decades. Consider The Transformers. That to me is what AI is. And soon to come.,2,female,45 - 54,Texas,Conroe
How to feel about AL? Al is interesting and curiously technical.,5,male,35 - 44,New Jersey,Newark
It stands for artificial intelligence and technology,5,male,18 - 24,Florida,Miami
Good because it's the Best for me and my family love it,1,male,35 - 44,Texas,Fort Worth
I am torn. I don't think that it is good for our youth to rely on it. But I also feel that technological advancement is aided with AI.,3,female,> 54,Florida,Palm Beach Gardens
It is a very good thing that was made for the economy,1,male,18 - 24,Florida,Tampa
Not sure I have mixed feelings about it it's good and bad,3,male,45 - 54,Ohio,Unknown
Will have a positive impact on society in the future,1,male,45 - 54,Ohio,Mogadore
has good and bad things to say about it and is leasing the way in technology,3,male,45 - 54,New York,Fulton
It's okay it could be better since people are getting smarter,3,male,25 - 34,Tennessee,Kingsport
It's the future industry to rule all industries for mankind.,1,male,35 - 44,Arizona,Phoenix
It should be monitored but can be useful. AI can help people in many ways but could be dangerous if not properly handled.,3,female,16 - 17,Alabama,Alabaster
I am not sure. I have not heard enough about it.,4,female,> 54,New York,Newark
I like it and I believe it will advance even fir,1,female,> 54,Ohio,Cleveland
I love AI it's has upgraded a lot of systems which has made a lot of things easier than they were before,1,female,18 - 24,Georgia,Hampton
It's okay I guess like the voice ones okay like Google,3,female,25 - 34,North Carolina,Greenville
It's going to be very useful and helpful and completely change the computer industry,1,male,> 54,New Jersey,Carteret
I think it's helpful but a little creepy. I feel like things like Alexa spy on you.,3,female,35 - 44,Ohio,Chardon
"Both excited and apprehensive. I can see the benefits it could bring to every day life but I also see the very real issues we could end up with, for example data and privacy concerns or AI doing what it wants or teaching itself without human knowledge of it doing so.",3,female,35 - 44,Pennsylvania,Pottstown
I am totally undecided about AI. I guess it is the fire of social media.,4,female,45 - 54,Illinois,Chicago
It has its uses but it must be closely monitored,3,female,> 54,Georgia,Fayetteville
I'm beginning to like it. I was a little skeptical about but it's actually awesome,1,male,45 - 54,Florida,Jacksonville
I feel we are on there brink of AGI and incredible abundance,1,male,25 - 34,California,Westminster
In the middle. Kind of concerned because of how life like it is,3,female,25 - 34,South Carolina,Aiken
"I don't know too much about AI, but I am willing to learn more about it and how it works.",4,female,45 - 54,Georgia,Lithonia
very cautious about accepting this technology,2,male,> 54,Georgia,Winder
Not good it's not how people should learn it makes people lazy and not work hard,2,male,35 - 44,New York,Staten Island
It is going to take over all of the jobs and unemployment will continue to rise.,2,female,25 - 34,North Carolina,Charlotte
It's okay I like it quite a bit it can be very helpful,1,male,25 - 34,New York,The Bronx
I feel like AI is the future and it can soon take over the world and take the jobs of many citizens.,2,male,18 - 24,Michigan,Detroit
It's going to make everyone's life so much easier and change the computer industry,1,male,> 54,New Jersey,Carteret
It's actually quite scary and I don't think the world is ready for it,2,female,35 - 44,Texas,Houston
Feel good about it. It can enhance our experience to all kinds of technology,1,female,> 54,Pennsylvania,Camp Hill
I think it's helpful but also intrusive. I think there are strengths and also weaknesses.,3,female,35 - 44,South Carolina,Elloree
"advanced technology quick solutions, combination of algorithms proposed with the purpose    of creating machines tht have the same capabilities as humans",5,male,45 - 54,Florida,Hollywood
I don't know what to think about al. It a game change,4,male,45 - 54,Pennsylvania,Lancaster
I'm cautious and optimistic at the same time.,3,female,35 - 44,Georgia,Unknown
Don't care to much but would like to learn about it,4,female,45 - 54,Maryland,Germantown
I feel like I'm kinda scared when we allow it take over the world,2,male,45 - 54,Ohio,Columbus
"Can be useful, but can also be dangerous. It can be used to build dat models and code%3B but can also be used for deep fakes and fraudulent activity",3,male,45 - 54,Texas,New Braunfels
I appreciate the concept of the content provided by the company services and services,5,female,45 - 54,Wisconsin,Milwaukee
I don't really understand how AI works so I'm confused about it,4,female,45 - 54,Arizona,Gilbert
I dont see how it is really going to help us all..,2,female,> 54,Texas,San Antonio
I think it will be good thing. That it will have both pros and cons so bad points just have to correct or leave out.,3,female,> 54,Missouri,St Louis
Ai is a little creepy. And I don't really like it.,2,female,35 - 44,Louisiana,Denham Springs
It's ok I guess . I'm really not sure. We will see what happens,4,male,35 - 44,North Carolina,Winston-Salem
I don't trust it. I don't know enough about it or know how to control it.,2,male,> 54,Florida,Orlando
I absolutely abhor the idea of ai and all it stands for. It should have never been created and the only people it's helping is the people getting rich off of it,2,male,18 - 24,New York,Brooklyn
I think caution should be taken in its development,2,female,> 54,Pennsylvania,Philadelphia
No real comments this sure has been a lot of hype about it I'm not quite sure if it's going to be a good or bad in regards to Medicine I think it will be helpful,3,male,> 54,Minnesota,Maple Grove
I don't like it and don't know to much about it,2,female,35 - 44,Illinois,McHenry
It is ok. I like the ability for it to answer questions based on previous data. I didn't like the future that might happen relating to ai,3,male,35 - 44,Illinois,Freeport
I'm not that thrilled with AI I mean it can help us in many ways but I fear it's taken over. Having people do certain things,3,female,> 54,New York,Merrick
Worried because it's taking away jobs and it's taking away human creativity.,2,female,35 - 44,Michigan,Dearborn Heights
I think it's a good app that helps everyone with something.,1,female,25 - 34,Missouri,Springfield
It ok just don't trust it like everyone else but we will see,4,male,35 - 44,Illinois,Dolton
AI is helpful but be careful when you use it.,3,female,> 54,Tennessee,Collierville
It's useful when used correctly. Sometimes It's better to do it manually without the help of smart features.,3,female,35 - 44,New York,Niagara Falls
"Think it's helpful n easy to use, accessible n lots of ways to use",1,female,> 54,South Carolina,North Augusta
I think it can be great but I have a lot of concerns.  It is already being misused.,3,male,> 54,North Carolina,Charlotte
It seems cool to have a bit of help of someone who isn't real yet they know a lot since it's a robot,1,female,18 - 24,Texas,Spring
I really think it's great and very innovative,1,female,45 - 54,Arizona,Phoenix
I honestly done understand it all. I don't think it's a good thing!,2,female,> 54,Florida,Palm Coast
Can be helpful at times but other times misleading.,3,female,35 - 44,Washington,Bothell
"It's new, I'm not too sure about AI or what it can do yet",4,female,35 - 44,New Jersey,Laurelton
"I'm very open to AI, I think it will be interesting to watch how it matures over time",1,male,> 54,Kentucky,Barbourville
It's useful and entertaining I think. It's fun to use them.,1,female,25 - 34,Michigan,Madison Heights
