Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
REGN,"Regeneron Pharmaceuticals",722.37,-9.49,-1.30%,732.69,720.14,670700,2022-10-07
RF,"Regions Financial Corp",20.45,-0.36,-1.73%,20.73,20.25,10460700,2022-10-07
RHI,"Robert Half International Inc",77.5,-2.08,-2.61%,78.74,76.86,1198700,2022-10-07
RJF,"Raymond James Financial",107.12,-1.1,-1.02%,107.93,105.75,1118600,2022-10-07
RL,"Ralph Lauren Corp",90.76,-2.77,-2.96%,92.32,89.81,831000,2022-10-07
RMD,"Resmed Inc",222.41,-7.44,-3.24%,227.87,221.15,330300,2022-10-07
ROK,"Rockwell Automation Inc",225.41,-7.71,-3.31%,230.01,223.68,545200,2022-10-07
ROL,"Rollins Inc",36.16,-0.97,-2.61%,36.99,36.06,1153000,2022-10-07
ROP,"Roper Industries",369.37,-10.96,-2.88%,377.92,367.23,577100,2022-10-07
ROST,"Ross Stores Inc",86.86,-1.38,-1.56%,87.78,86.17,1743000,2022-10-07
RSG,"Republic Services",129.23,-4.18,-3.13%,132.62,129.07,1482400,2022-10-07
RTX,"Raytheon Technologies Corp",84.01,-0.27,-0.32%,84.09,82.71,4417500,2022-10-07
SBAC,"SBA Communications",262.4,-5.62,-2.10%,267.63,260.99,855500,2022-10-07
SBNY,"Signature Bank",152.99,-4.6,-2.92%,155.05,151.36,467200,2022-10-07
SBUX,"Starbucks Corp",87.03,-2.32,-2.60%,88.9,86.3,6606300,2022-10-07
SCHW,"The Charles Schwab Corp",74.31,-1.68,-2.21%,75.88,73.59,8063000,2022-10-07
SEDG,"Solaredge Tech",209.62,-10.65,-4.83%,219.24,208.48,1568200,2022-10-07
SEE,"Sealed Air Corp",44.02,-1.15,-2.55%,44.61,43.77,803000,2022-10-07
SHW,"Sherwin-Williams Company",205.6,-11.17,-5.15%,214.8,204.05,1198800,2022-10-07
SIVB,"Svb Financial Group",341.47,-15.1,-4.23%,349.23,339.02,482700,2022-10-07
SJM,"J.M. Smucker Company",137.59,-0.49,-0.35%,138.39,136.88,641900,2022-10-07
SLB,"Schlumberger N.V.",42.59,0.1,+0.24%,43.12,41.67,15953700,2022-10-07
SNA,"Snap-On Inc",209.55,-4.26,-1.99%,212.34,208.04,211600,2022-10-07
SNPS,"Synopsys Inc",307.01,-14.92,-4.63%,315.88,305.23,1093300,2022-10-07
SO,"Southern Company",64.12,-1.61,-2.45%,65.99,63.79,4889400,2022-10-07
SPG,"Simon Property Group",92.54,-2.14,-2.26%,94.31,92.03,1811700,2022-10-07
SPGI,"S&P Global Inc",304.53,-11.64,-3.68%,313.58,302.61,2098300,2022-10-07
SRE,Sempra,147.03,-1.88,-1.26%,149.45,145.73,1361700,2022-10-07
STE,"Steris Corp",170.19,-2.55,-1.48%,172.28,169.52,831400,2022-10-07
STT,"State Street Corp",62.11,-1.85,-2.89%,63.44,61.63,1782600,2022-10-07
STX,"Seagate Technology Hldgs Plc",53.76,-1.95,-3.50%,55.99,53.23,2926300,2022-10-07
STZ,"Constellation Brands Inc",222.7,-9.82,-4.22%,233.51,221.97,2154900,2022-10-07
SWK,"Stanley Black & Decker Inc",77.52,-3.54,-4.37%,80.01,77.25,1839800,2022-10-07
SWKS,"Skyworks Solutions",87.2,-5.41,-5.84%,90.39,86.95,2592400,2022-10-07
SYF,"Synchrony Financial",30.84,-0.65,-2.06%,31.11,30.65,7533900,2022-10-07
SYK,"Stryker Corp",208.52,-2.9,-1.37%,210.12,206.84,1222100,2022-10-07
SYY,"Sysco Corp",72.19,-1.08,-1.47%,72.83,71.75,2106000,2022-10-07
T,"AT&T Inc",14.94,-0.38,-2.48%,15.24,14.9,53446902,2022-10-07
TAP,"Molson Coors Brewing Company",47.02,-0.71,-1.49%,47.72,46.69,1032400,2022-10-07
TDG,"Transdigm Group Inc",533.48,-13.52,-2.47%,540.63,528.16,215600,2022-10-07
TDY,"Teledyne Technologies Inc",340.13,-8.89,-2.55%,345.41,338.49,206400,2022-10-07
TECH,"Bio-Techne Cp",296,-13.08,-4.23%,304.83,293.01,242800,2022-10-07
TEL,"Te Connectivity Ltd",114.16,-3.92,-3.32%,117.21,113.43,1610400,2022-10-07
TER,"Teradyne Inc",77.33,-4.68,-5.71%,80.16,76.65,2321800,2022-10-07
TFC,"Truist Financial Corp",43.53,-1.35,-3.01%,44.74,43.38,6177900,2022-10-07
TFX,"Teleflex Inc",194.22,-5.21,-2.61%,197.29,192.8,344600,2022-10-07
TGT,"Target Corp",152.34,-3.41,-2.19%,154.52,150.72,2771900,2022-10-07
TJX,"TJX Companies",64.59,-0.5,-0.77%,64.85,63.94,5153000,2022-10-07
TMO,"Thermo Fisher Scientific Inc",523.61,-16.98,-3.14%,535.8,520.9,976700,2022-10-07
TMUS,"T-Mobile US",137.59,-1.83,-1.31%,139.29,137.04,4945800,2022-10-07
TPR,"Tapestry Inc",31.48,-0.53,-1.66%,31.67,31.07,2925000,2022-10-07
TRMB,"Trimble Navigation",54.61,-3.12,-5.40%,56.61,54.35,856300,2022-10-07
TROW,"T Rowe Price Group",106.2,-4.72,-4.26%,109.67,105.67,1521100,2022-10-07
TRV,"The Travelers Companies Inc",156.88,-2.31,-1.45%,158.82,156.34,1058800,2022-10-07
TSCO,"Tractor Supply Company",194.62,-5.46,-2.73%,198.83,193.85,978600,2022-10-07
TSLA,"Tesla Inc",223.07,-15.06,-6.32%,234.57,222.02,83916797,2022-10-07
TSN,"Tyson Foods",63.89,-1.63,-2.49%,65.21,63.44,2766400,2022-10-07
TT,"Trane Technologies Plc",146.36,-5.21,-3.44%,150.54,145.39,1231300,2022-10-07
TTWO,"Take-Two Interactive",120.73,-0.65,-0.54%,121.07,118.57,1507300,2022-10-07
TWTR,"Twitter Inc",49.18,-0.21,-0.43%,49.52,48.14,32630100,2022-10-07
TXN,"Texas Instruments",159.28,-7.26,-4.36%,165.06,158.61,8306400,2022-10-07
TXT,"Textron Inc",61.3,-1.33,-2.12%,62.08,60.67,1353400,2022-10-07
TYL,"Tyler Technologies",352.95,-13.05,-3.57%,363.49,351.43,197200,2022-10-07
UAL,"United Airlines Holdings Inc",33.86,-1.1,-3.15%,34.7,33.43,9386300,2022-10-07
UDR,"United Dominion Realty Trust",38.04,-1.75,-4.40%,39.38,37.88,2542900,2022-10-07
UHS,"Universal Health Services",91.43,-1.86,-1.99%,92.52,90.79,486900,2022-10-07
ULTA,"Ulta Beauty Inc",387.98,-4.1,-1.05%,388.48,380.94,689000,2022-10-07
UNH,"Unitedhealth Group Inc",504.85,-14.28,-2.75%,514.17,501.06,3273700,2022-10-07
UNP,"Union Pacific Corp",195.62,-2.59,-1.31%,197.15,193.61,2875600,2022-10-07
UPS,"United Parcel Service",159.14,-6.46,-3.90%,164.01,158.34,3490900,2022-10-07
URI,"United Rentals",284.52,-9.06,-3.09%,290.79,280.9,827900,2022-10-07
USB,"U.S. Bancorp",40.2,-0.88,-2.14%,40.93,39.97,8696601,2022-10-07
V,"Visa Inc",183.83,-1.76,-0.95%,184.61,181.93,5610200,2022-10-07
VFC,"V.F. Corp",28.87,-1.43,-4.72%,29.92,28.61,5127400,2022-10-07
VICI,"Vici Properties Inc",30.64,-0.32,-1.03%,30.97,30.44,4691200,2022-10-07
VLO,"Valero Energy Corp",113.78,-5.44,-4.56%,120.18,112.83,4557800,2022-10-07
VMC,"Vulcan Materials Company",157.49,-4.71,-2.90%,160.6,156.5,509000,2022-10-07
VNO,"Vornado Realty Trust",21.32,-0.84,-3.79%,22.04,21.07,5327900,2022-10-07
VRSK,"Verisk Analytics Inc",170.56,-5.13,-2.92%,174.54,169.91,705400,2022-10-07
VRSN,"Verisign Inc",177.86,-4.22,-2.32%,180.68,177.05,731800,2022-10-07
VRTX,"Vertex Pharmaceutic",295.23,-3.4,-1.14%,300.05,292.73,1424700,2022-10-07
VTR,"Ventas Inc",37.72,-0.61,-1.59%,38.28,37.28,2470900,2022-10-07
VTRS,"Viatris Inc",8.74,-0.2,-2.24%,8.9,8.67,8055600,2022-10-07
VZ,"Verizon Communications Inc",36.85,-0.99,-2.62%,37.7,36.81,31838600,2022-10-07
WAB,"Wabtec Corp",86.04,-1.36,-1.56%,86.64,85.34,562100,2022-10-07
WAT,"Waters Corp",276.5,-11.05,-3.84%,284.23,275.43,385800,2022-10-07
WBA,"Walgreens Boots Alliance",30.52,-1.73,-5.36%,32.07,30.39,11291000,2022-10-07
WBD,"Discovery Inc Series A",11.98,-0.51,-4.08%,12.48,11.88,14331200,2022-10-07
WDC,"Western Digital Cp",35.74,-1.32,-3.56%,38.95,35.35,9719399,2022-10-07
WEC,"Wisconsin Energy Corp",85.48,-1.04,-1.20%,86.93,84.75,2334900,2022-10-07
WELL,"Welltower Inc",58.6,-1.16,-1.94%,59.75,58.16,2773400,2022-10-07
WFC,"Wells Fargo & Company",41.79,-0.45,-1.07%,42.12,41.39,17186699,2022-10-07
WHR,"Whirlpool Corp",138.73,-4.18,-2.92%,141.2,137.3,550200,2022-10-07
WM,"Waste Management",155.24,-4.16,-2.61%,158.79,154.73,1963100,2022-10-07
WMB,"Williams Companies",29.79,-0.32,-1.06%,30.22,29.51,7169300,2022-10-07
WMT,"Walmart Inc",128.56,-3.12,-2.37%,131.65,128.07,5693400,2022-10-07
WRB,"W.R. Berkley Corp",66.92,-0.87,-1.28%,67.53,66.47,1170100,2022-10-07
WRK,"Westrock Company",31.35,-0.69,-2.15%,31.73,31.15,1865900,2022-10-07
WST,"West Pharmaceutical Services",249.82,-6.44,-2.51%,252.84,247.77,522800,2022-10-07
WTW,"Willis Towers Watson Public Ltd CO",204.93,-5.69,-2.70%,210.05,203.87,458900,2022-10-07
WY,"Weyerhaeuser Company",28.66,-0.51,-1.75%,29,28.5,3935300,2022-10-07
WYNN,"Wynn Resorts Ltd",73.09,-1.08,-1.46%,73.79,71.47,3061700,2022-10-07
XEL,"XCEL Energy Inc",59.86,-1.96,-3.17%,62.04,59.68,6476400,2022-10-07
XOM,"Exxon Mobil Corp",101.03,-1.03,-1.01%,103.32,100.18,24507600,2022-10-07
XRAY,"Dentsply Sirona Inc",28.41,-1.01,-3.43%,29.22,28.23,1801200,2022-10-07
XYL,"Xylem Inc",89.27,-2.39,-2.61%,90.65,88.57,966800,2022-10-07
YUM,"Yum! Brands",108.93,-1.19,-1.08%,109.5,108,1742000,2022-10-07
ZBH,"Zimmer Biomet Holdings",108.26,-2.34,-2.12%,109.88,107.33,867100,2022-10-07
ZBRA,"Zebra Technologies",266.68,-13.67,-4.88%,275.69,266.05,345400,2022-10-07
ZION,"Zions Bancorp",50.37,-2.04,-3.89%,51.92,50.17,1533100,2022-10-07
ZTS,"Zoetis Inc Cl A",147.37,-5.22,-3.42%,151.41,146.95,2022500,2022-10-07
"Downloaded from Barchart.com as of 10-07-2022 08:21pm CDT"
