What are your greatest concerns about AI?,Category
Robots taking over the world. And it ending.,3
I don't know what concerns I might have cuz I don't know anything about it,7
Taking over everything and what harm it can cause.,3
Replacing humans. No sympathy. Can be hacked,1
I’m concerned that society isn’t ready for such a huge responsibility.,6
My greatest concern about AI is that they might take over one day,3
Security safety for the future of the world,2
It seems to pop up on my device unwarranted and unwarranted and unasked,6
It becoming smarter than humans and taking over and enslaving us,3
My greatest concern is my personal privacy.,2
I don’t know what to say about that because I’m not sure what to say but I’m going to try w,7
None I don't know about AI at all,7
Replacing jobs like writers so that everything just becomes generic.,1
That it will be used in negative ways,4
The effects of glitches it not running properly,6
Nothing in particular I think it will be great,7
Interested In more information about this  cause don't know much,7
I really don’t know but I will do research first,7
I don't have any concerns about AI.,7
I have no specific concerns about AI,7
I really don’t know much about to have any concerns,7
The company brand terms of service,6
Peoples’ fears and concerns that are not true.,6
I’m not sure about ai at this moment,7
Hacking into my accounts such as social media or even my bank/money apps.,2
"data security, bias, privacy issues",2
That it will take over the world and we won't be able to stop it.,3
it being weponised for military use,4
The medical records are on my phone,6
Government restrictions and Google manipulation of results.,6
"Ai will take over, it shouldnot be used in everything",3
It will make people lazy and also people misusing AI.,6
"I don’t have any concerns about it, I be using it myseld",7
Nothing really concerns me.  About Al it’s greay so far,7
I'm afraid it will realize what a mess we are and decide that we don't deserve to live.  That is I am afraid he will tell the big main computer to fire the bomb and then we are all finished,3
None at all not to much concerns,7
Worried AI will take over identities,2
No concerns about AI. To be very honest,7
Oh how it functions faster that most things,6
Getting personal information. Getting hacked,2
Take over for humans not at all going forward,3
It will eliminate jobs from people.,1
Accuracy and safety would be my greatest concern.,5
It can be dangerous if not restricted.,6
used to proliferate incorrect information,5
How it will impact students' learning. Will they stop critical thinking?,6
Because  it more advance  and top technology  and we can learn and do learn alot from AI and help us alot,7
I have no concerns because I don't know what AI is!,7
Privacy and ownership concerns,2
Like my previous written answer things like the transformers walking amongst us.,6
What are the greatest concerns? It would be hacks and other malfunctions.,2
It might be too overwhelming and too high in frequency,6
Talking over the world because it really how I feel,3
That the children of the world will use it in lieu of their own intelligence.,6
That they are to intelligent to,3
Don’t have a voice because everything will be divital,6
Don't really have any concerns,7
that it will invade my privacy,2
It will take over the world and it will become to smart to turn off,3
"Big tech monopolies, governmental invasion of privacy, and the loss of so many jobs in the economy.",2
It can be used to falsify information and can directly harm humans.,5
I do not know enough about it yet.,7
I’m not really concerned by much of it even when you all the security scares,7
I honestly have no concerns with AI I feel like it’s making a lot of things easier for people,7
I don't trust robots all that much,6
The some people might use it to commit crimes,4
Spyware and sometimes it is not accurate,2
Data and privacy and AI doing things humans aren't aware or knowledgeable of.,2
My greatest concerns when it comes to AI is that it’s gonna take over the worlds,3
Misinformation   artificial news being passed off as factual.,5
I really don’t have any concerns about it right now,7
No regulation seems to be the issue. In the wrong hands who knows.,6
That cars and such will not be controlled by people,6
My greatest concerns is identity theft,2
replacing the human factor in the long run,1
The ability to pretend or take another’s image and likeness,6
I’m concerned that it will make society dumber.,6
Nothing I have no concerns it seems great so far,7
My greatest concerns about AI is that it can soon be smarter then humans and that can be dangerous since they could take over the world.,3
That some people might use it to commit crimes,4
That they will take over human capabilities in all aspects,3
It will take over and eliminate jobs,1
Dependency and Laziness because it's too helpful.,6
The software's lack of ability to interpret and or explain the decisions or result it does not provide can generate distrust,6
It will change what is real or not,5
Accuracy is the main thing or becoming too smart,5
N/a don’t care to much about it,7
Humans losing control and the computers take over,3
"As i mentioned in the prior answer, it would be fraudulent activity.",4
I enjoy the concept of the content provided by the company services and services,7
That AI is going to take over the world,3
That I won't know how to use it and it is frustrating,6
None really. Has I might use grocery shopping.,7
I don’t have any concerns it’s just a little creepy.,7
Not sure I have no yet*still figuring it out. I'll know soon,7
That personal information is protected,2
Ai should have never even been built in the first place and there will be many repercussions that follow along with government cover ups that want control of whatever ai may be capable of. Si has existed for years before it became available to the public. Since 9/11,6
The deep fakes and misinformation,5
Job replacement that's it may have a bad impact on employment situations,1
I have no preference for this at this time today,7
Major privacy concerns and facial recognition,2
That it will put people out of their jobs and on the other hand that it is limited.,1
That it will take away more jobs making everything so automated l.,1
If it's real as far as facts & uphold the positive side of things,5
It could turn on us or just not comfortable with a robot,3
I am concerned that someone will use it in a criminal way to harm someone else.,4
Too much dependent on using it rather then looking for stuff yourself.,6
Making sure my information is safe,2
"It will be used for fraud, scams, etc.  It could make it harder to know when you are interacting with a real person.",4
How does it remember every answer about things,6
I really don’t have any concerns at this time,7
"Actor losing there jobs, people’s voices being mimicked , false information",1
Providing false information. And creating images that are not disclosed as AI,5
Greatest concern is a breech of my privacy,2
Becoming too dependent on it for answers,6
Robotic mistakes might happen.,6
